id,playlist_id,song_id,created_at
4,3,6,2023-01-04 08:54:36.915585+00
5,3,10,2023-01-04 08:54:43.353199+00
6,3,8,2023-01-04 08:54:49.737836+00
7,3,9,2023-01-04 08:54:55.994956+00
8,3,70,2023-01-04 08:55:02.553141+00
9,2,11,2023-01-04 08:55:23.386741+00
10,2,12,2023-01-04 08:55:29.272348+00
11,2,13,2023-01-04 08:55:42.210988+00
12,2,14,2023-01-04 08:55:46.945385+00
13,2,15,2023-01-04 08:55:57.238909+00
14,2,52,2023-01-04 08:56:06.058652+00
15,2,51,2023-01-04 08:56:23.277705+00
16,2,53,2023-01-04 08:56:43.274515+00
17,2,54,2023-01-04 08:56:52.370009+00
18,2,55,2023-01-04 08:57:03.241463+00
19,1,2,2023-01-04 08:57:27.606081+00
20,1,18,2023-01-04 08:57:34.454451+00
21,1,19,2023-01-04 08:57:44.003853+00
22,1,48,2023-01-04 08:57:55.074093+00
23,1,4,2023-01-04 08:58:00.392127+00
24,1,17,2023-01-04 08:58:05.366909+00
25,1,49,2023-01-04 08:58:12.287286+00
26,1,16,2023-01-04 08:58:27.930715+00
27,1,29,2023-01-04 08:58:37.30067+00
28,1,35,2023-01-04 08:58:52.292238+00
29,4,74,2023-01-04 10:37:53.353736+00
30,4,73,2023-01-04 10:38:00.616839+00
31,4,80,2023-01-04 10:38:07.289204+00
32,4,76,2023-01-04 10:38:14.139634+00
33,4,77,2023-01-04 10:38:37.145187+00
35,5,93,2023-02-20 11:55:27.052286+00
36,5,94,2023-02-20 11:55:35.217952+00
37,5,95,2023-02-20 11:55:43.72797+00
38,5,96,2023-02-20 11:55:49.640592+00
39,5,98,2023-02-20 11:55:58.93842+00
40,5,100,2023-02-20 11:56:03.153695+00
41,5,102,2023-02-20 11:56:13.658197+00
42,5,103,2023-02-20 11:56:19.638443+00
43,5,108,2023-02-20 11:56:32.409215+00
44,5,110,2023-02-20 11:56:40.144926+00
45,6,112,2023-02-20 11:57:11.213285+00
46,6,118,2023-02-20 11:57:19.020943+00
47,6,122,2023-02-20 11:57:23.852441+00
48,6,121,2023-02-20 11:57:36.68603+00
49,6,120,2023-02-20 11:57:48.553397+00
50,7,126,2023-02-20 13:37:04.476648+00
51,7,125,2023-02-20 13:37:14.038607+00
52,7,124,2023-02-20 13:37:19.429743+00
53,7,128,2023-02-20 13:37:30.922263+00
54,7,129,2023-02-20 13:37:41.554981+00
55,7,130,2023-02-20 13:37:49.989646+00
56,7,131,2023-02-20 13:38:03.777839+00
57,7,133,2023-02-20 13:38:08.862532+00
58,7,123,2023-02-20 13:38:25.111441+00
59,7,132,2023-02-20 13:38:42.220929+00
